ID,Type,Name,Documentation,Specialization
id-656f16355f3947849e18ed33be00e089,Requirement,Support for Financial Transactions,,
id-68c309d0b0b1493b9760987a4011301c,Requirement,Support for Policy Administration,,
id-4fa1224454174fad9c3838e55517a557,Stakeholder,Board,,
id-df634ab291a34ac9a4403c9de84df8ea,Stakeholder,Customer,,
id-a02ed72696c9439f956928968c30b613,Value,Fast and Easy Handling of New Policies and Insurance Claims,,
id-92426dc89bab4ef1b1c87271715186ea,Value,High Customer Intimacy Based on Detailed Customer Data,,
id-117bdc864f094af9be7c767d351dc012,Value,High-Quality Insurance Product with Attractive Price,,
id-b3d6e2f0f3984bc8b7047414e5bed6c2,Value,Well-Targeted Products for the Millenials Market Segment,,
id-a4d6403102aa4da9aac0ad0d90a7848d,Junction,Junction,,
id-071b91fecf294ee6a43b6e8720ba0bc1,Junction,Junction,,
id-331da3e533c44dcca680c6d3b07d97cd,Junction,Junction,,
id-1206f0d2ac134c6db9d496c5817051fd,Location,Home & Away Headquarters,,
id-70bbb6e4e47d4b8d9037c51752d2e015,Location,LegallyYours Headquarters,,
id-d8262c86ed0d4cd1a12a8e16ebfd85cb,Location,PRO-FIT Headquarters,,
1,Capability,Business Management,,
2,Capability,Strategic Management,,
3,Capability,Fiscal & Accounting Management,,
4,Capability,Risk & Compliance Management,,
5,Capability,Performance Management,,
6,Capability,Enterprise Architecture,,
7,Capability,Product Management,,
8,Capability,Product Definition,,
9,Capability,Production Engineering,,
10,Capability,Marketing,,
11,Capability,Market Development,,
12,Capability,Campaign Management,,
13,Capability,Sales and Distribution,,
14,Capability,Distribution Channel Management,,
15,Capability,Sales Execution,,
16,Capability,Customer Management,,
17,Capability,Customer Contact Management,,
18,Capability,Customer Relation Management,,
19,Capability,Service Channel Management,,
20,Capability,Customer Data Management,,
21,Capability,Asset Management,,
22,Capability,Investment Strategy Management,,
23,Capability,Investment Performance Management,,
24,Capability,Investment Portfolio Management,,
25,Capability,Asset Inventory Management,,
26,Capability,Money Management,,
27,Capability,Banking Management,,
28,Capability,Accounts Management,,
29,Capability,Cash Flow Management,,
30,Capability,Money Market Management,,
31,Capability,Policy and Claim Management,,
32,Capability,Contract Lifecycle Management,,
33,Capability,Contract Administration,,
34,Capability,Claim Settlement,,
35,Capability,Claim Administration,,
36,Capability,Business Support,,
37,Capability,Organization Development,,
38,Capability,HR Management,,
39,Capability,Process Management,,
40,Capability,Office Management,,
41,Capability,Facility Management,,
42,Capability,IT Management,,
